$ create owner-only Fedora proof workspace
PASS
$ generate harness; bash -n validates all emitted scripts
generated_scripts=3
bash_n=pass
$ start watcher, require 30 samples plus live PID, then request proof stop
samples=31
first_monotonic=142424.14
thirtieth_monotonic=142453.25
elapsed_first_to_thirtieth=29.11
live_after_30=pass
fields_per_row=39
fedora_state_before=docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	0	false
fedora_state_after=docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	0	false
rollback_invoked=no
selector_mutated=no
credential_used=no
request_sent=no
health_liveliness=200
health_readiness=200
$ sanitized allowlisted rows
utc	mono	phase	container_id	started_at	configured_image	runtime_image	exit_code	memory_current	memory_peak	cgroup_swap	cgroup_oom	cgroup_oom_kill	mem_available	host_swap	psi_full_avg10	pids	cpu_usage_usec	restarts	oom_killed	health	rss	anonymous	private_dirty	threads	fds	sockets	postgres_connections	redis_clients	redis_blocked	disk_available	disk_used_percent	dependencies_digest	protected_state	liveliness	readiness	kernel_oom	request_state	control
2026-09-04T20:27:30Z	142444.22	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084237312	2406821888	0	0	0	78292226048	0	0.00	48	1624158709	0	false	healthy	2144509952	2076180480	2076180480	48	75	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:31Z	142445.23	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084372480	2406821888	0	0	0	78276927488	0	0.00	48	1624240976	0	false	healthy	2144509952	2076180480	2076180480	48	69	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:32Z	142446.24	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2083930112	2406821888	0	0	0	78224605184	0	0.00	48	1624289829	0	false	healthy	2144509952	2076180480	2076180480	48	69	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:33Z	142447.25	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084409344	2406821888	0	0	0	78227750912	0	0.00	48	1624402869	0	false	healthy	2144509952	2076180480	2076180480	48	67	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:34Z	142448.26	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2085117952	2406821888	0	0	0	78244188160	0	0.00	48	1624577463	0	false	healthy	2144509952	2076180480	2076180480	48	70	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:35Z	142449.24	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084978688	2406821888	0	0	0	78289068032	0	0.00	48	1624708049	0	false	healthy	2144784384	2076454912	2076454912	48	71	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:36Z	142450.25	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084663296	2406821888	0	0	0	78353719296	0	0.00	48	1624784873	0	false	healthy	2144784384	2076454912	2076454912	48	71	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:37Z	142451.24	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084577280	2406821888	0	0	0	78282948608	0	0.00	48	1624829361	0	false	healthy	2144784384	2076454912	2076454912	48	71	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:38Z	142452.25	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084880384	2406821888	0	0	0	78290268160	0	0.00	48	1624862863	0	false	healthy	2144784384	2076454912	2076454912	48	71	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:39Z	142453.25	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2085089280	2406821888	0	0	0	78293241856	0	0.00	48	1624944403	0	false	healthy	2144784384	2076454912	2076454912	48	69	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
2026-09-04T20:27:40Z	142454.27	rollback	d18b783701c805213323e8762a78c3fe7073f88e8733e0347cc77a50898a5b15	2026-09-04T07:08:55.440395016Z	docker.staticduo.com/litellm@sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	sha256:1b7a6dc4514b0f43902a6ac38dfde269aeb902497e3d1bb5a09f75a1ccd5cc04	0	2084986880	2406821888	0	0	0	78421827584	0	0.00	48	1625071180	0	false	healthy	2144784384	2076454912	2076454912	48	70	0	10	24	0	914497458176	55	e5c9c38e3e0001f7176e0b9afe75ae74c5236ab942dbf4aab61d482a071b9fbf	pass	200	200	0	pre	pass
$ remove temporary proof workspace
temporary_proof_removed=pass
